total_cases,crime_type_diversity,avg_gravity,age,is_priority,cases_per_year,recidivism_risk
34,3,1.09,21,0,17.0,HIGH
8,7,1.38,26,0,4.0,HIGH
2,2,1.5,19,0,1.0,HIGH
5,4,1.6,27,0,2.5,HIGH
6,3,1.5,31,0,3.0,HIGH
4,2,1.75,16,0,2.0,HIGH
31,6,1.94,26,0,15.5,HIGH
2,2,1.5,45,0,1.0,HIGH
1,1,2.0,46,0,0.5,LOW
8,5,1.63,34,0,4.0,HIGH
8,6,1.5,49,0,4.0,HIGH
1,1,1.0,36,0,0.5,LOW
16,7,1.69,27,0,8.0,HIGH
5,5,1.6,20,0,2.5,HIGH
3,2,2.0,43,0,1.5,HIGH
2,2,1.5,34,0,1.0,HIGH
10,6,1.7,29,0,5.0,HIGH
3,3,1.67,29,0,1.5,HIGH
3,3,1.67,15,0,1.5,HIGH
12,8,1.33,42,0,6.0,HIGH
4,4,1.5,39,0,2.0,HIGH
2,2,1.5,32,0,1.0,HIGH
1,1,1.0,15,0,0.5,LOW
28,4,1.93,34,0,14.0,HIGH
5,4,1.6,20,0,2.5,HIGH
4,4,1.75,31,0,2.0,HIGH
6,6,1.67,33,0,3.0,HIGH
3,2,1.67,33,0,1.5,HIGH
3,3,1.67,35,0,1.5,HIGH
28,4,1.89,19,0,14.0,HIGH
4,3,1.5,15,0,2.0,HIGH
4,4,2.0,25,0,2.0,HIGH
6,5,1.33,32,0,3.0,HIGH
3,2,1.0,26,0,1.5,HIGH
2,2,1.5,28,0,1.0,HIGH
27,4,1.93,42,0,13.5,HIGH
1,1,2.0,30,0,0.5,LOW
3,3,2.0,53,0,1.5,HIGH
9,5,1.78,32,0,4.5,HIGH
13,6,1.46,38,0,6.5,HIGH
18,10,1.44,27,0,9.0,HIGH
10,6,1.7,25,0,5.0,HIGH
9,5,1.78,36,0,4.5,HIGH
12,7,1.42,38,0,6.0,HIGH
5,4,1.4,23,0,2.5,HIGH
16,4,2.0,28,0,8.0,HIGH
3,2,1.0,24,0,1.5,HIGH
2,2,1.5,53,0,1.0,HIGH
5,5,1.6,31,0,2.5,HIGH
7,5,1.14,21,0,3.5,HIGH
9,7,1.67,19,0,4.5,HIGH
3,3,1.33,50,0,1.5,HIGH
7,4,1.71,28,0,3.5,HIGH
7,6,1.57,30,0,3.5,HIGH
2,2,1.5,39,0,1.0,HIGH
4,2,1.75,19,0,2.0,HIGH
19,5,1.21,63,0,9.5,HIGH
3,3,1.33,34,0,1.5,HIGH
4,4,1.75,27,0,2.0,HIGH
1,1,2.0,29,0,0.5,LOW
4,4,1.5,35,0,2.0,HIGH
5,4,1.8,38,0,2.5,HIGH
36,4,1.06,16,0,18.0,HIGH
10,6,1.1,24,0,5.0,HIGH
32,4,1.19,30,0,16.0,HIGH
1,1,2.0,27,0,0.5,LOW
6,5,1.5,32,0,3.0,HIGH
6,5,1.67,28,0,3.0,HIGH
7,5,1.43,52,0,3.5,HIGH
5,3,2.0,29,0,2.5,HIGH
2,2,1.5,44,0,1.0,HIGH
2,1,2.0,16,0,1.0,HIGH
3,3,1.33,25,0,1.5,HIGH
6,3,1.83,28,0,3.0,HIGH
11,7,1.73,34,0,5.5,HIGH
5,4,1.0,46,0,2.5,HIGH
6,6,1.5,25,0,3.0,HIGH
2,2,1.5,25,0,1.0,HIGH
3,3,1.67,17,0,1.5,HIGH
11,7,1.55,44,0,5.5,HIGH
9,8,1.44,16,0,4.5,HIGH
10,5,1.9,34,0,5.0,HIGH
7,4,1.86,40,0,3.5,HIGH
5,4,1.2,28,0,2.5,HIGH
11,6,1.73,19,0,5.5,HIGH
3,3,1.33,33,0,1.5,HIGH
2,2,2.0,35,0,1.0,HIGH
2,2,1.5,22,0,1.0,HIGH
4,2,2.0,44,0,2.0,HIGH
2,2,1.5,15,0,1.0,HIGH
5,4,1.8,55,0,2.5,HIGH
7,5,1.86,35,0,3.5,HIGH
6,4,1.83,47,0,3.0,HIGH
3,2,2.0,31,0,1.5,HIGH
3,2,1.67,19,0,1.5,HIGH
2,2,1.5,39,0,1.0,HIGH
3,3,1.67,32,0,1.5,HIGH
8,5,2.0,25,0,4.0,HIGH
2,2,2.0,33,0,1.0,HIGH
45,7,1.91,53,0,22.5,HIGH
4,3,1.25,34,0,2.0,HIGH
5,3,1.4,27,0,2.5,HIGH
2,2,2.0,34,0,1.0,HIGH
10,8,1.7,34,0,5.0,HIGH
31,3,1.97,28,0,15.5,HIGH
4,4,1.0,15,0,2.0,HIGH
6,6,1.5,52,0,3.0,HIGH
8,6,1.5,28,0,4.0,HIGH
3,3,1.33,50,0,1.5,HIGH
26,5,1.15,31,0,13.0,HIGH
64,6,1.97,17,0,32.0,HIGH
8,5,1.5,34,0,4.0,HIGH
12,8,1.67,35,0,6.0,HIGH
12,7,1.58,32,0,6.0,HIGH
9,6,1.44,25,0,4.5,HIGH
2,2,1.5,31,0,1.0,HIGH
9,4,1.67,24,0,4.5,HIGH
3,3,1.67,22,0,1.5,HIGH
27,7,1.85,20,0,13.5,HIGH
5,2,2.0,32,0,2.5,HIGH
4,3,1.5,30,0,2.0,HIGH
5,3,2.0,28,0,2.5,HIGH
2,2,1.5,23,0,1.0,HIGH
7,5,1.57,26,0,3.5,HIGH
3,1,1.0,32,0,1.5,HIGH
38,4,1.21,17,0,19.0,HIGH
8,7,1.63,32,0,4.0,HIGH
32,4,1.09,33,0,16.0,HIGH
29,6,1.9,28,0,14.5,HIGH
3,3,1.33,35,0,1.5,HIGH
1,1,2.0,27,0,0.5,LOW
12,8,1.58,26,0,6.0,HIGH
5,4,1.4,30,0,2.5,HIGH
4,3,1.75,18,0,2.0,HIGH
11,7,1.55,20,0,5.5,HIGH
2,2,2.0,39,0,1.0,HIGH
2,2,2.0,57,0,1.0,HIGH
2,2,1.0,29,0,1.0,LOW
5,4,1.6,29,0,2.5,HIGH
9,5,1.56,29,0,4.5,HIGH
2,2,1.5,15,0,1.0,HIGH
7,4,1.86,25,0,3.5,HIGH
5,4,1.6,21,0,2.5,HIGH
50,4,2.0,24,0,25.0,HIGH
4,3,1.75,15,0,2.0,HIGH
4,4,1.5,29,0,2.0,HIGH
7,6,1.57,46,0,3.5,HIGH
2,2,1.5,34,0,1.0,HIGH
2,2,2.0,34,0,1.0,HIGH
6,5,1.5,26,0,3.0,HIGH
37,4,1.95,33,0,18.5,HIGH
8,5,1.75,31,0,4.0,HIGH
1,1,1.0,43,0,0.5,LOW
8,6,1.63,40,0,4.0,HIGH
5,5,1.6,44,0,2.5,HIGH
4,3,1.75,51,0,2.0,HIGH
3,3,1.67,25,0,1.5,HIGH
5,5,1.6,33,0,2.5,HIGH
4,3,1.25,33,0,2.0,HIGH
11,5,1.73,29,0,5.5,HIGH
7,6,1.29,36,0,3.5,HIGH
42,7,1.93,33,0,21.0,HIGH
1,1,2.0,30,0,0.5,LOW
9,6,1.67,26,0,4.5,HIGH
8,6,1.63,24,0,4.0,HIGH
24,1,2.0,15,0,12.0,HIGH
1,1,1.0,18,0,0.5,LOW
7,4,1.71,28,0,3.5,HIGH
7,4,1.71,28,0,3.5,HIGH
7,6,1.29,30,0,3.5,HIGH
8,6,1.88,34,0,4.0,HIGH
10,6,1.7,24,0,5.0,HIGH
3,3,1.0,39,0,1.5,HIGH
5,3,1.4,17,0,2.5,HIGH
1,1,1.0,29,0,0.5,LOW
5,4,1.8,25,0,2.5,HIGH
5,5,1.6,15,0,2.5,HIGH
2,2,1.5,17,0,1.0,HIGH
6,5,1.67,40,0,3.0,HIGH
1,1,1.0,29,0,0.5,LOW
8,7,1.38,40,0,4.0,HIGH
46,9,1.17,26,0,23.0,HIGH
5,4,1.6,32,0,2.5,HIGH
11,8,1.73,27,0,5.5,HIGH
25,3,2.0,22,0,12.5,HIGH
11,6,1.64,28,0,5.5,HIGH
3,3,1.67,41,0,1.5,HIGH
8,5,1.38,26,0,4.0,HIGH
6,4,1.83,45,0,3.0,HIGH
2,1,1.0,53,0,1.0,LOW
6,5,1.33,25,0,3.0,HIGH
3,3,1.33,16,0,1.5,HIGH
7,5,1.57,37,0,3.5,HIGH
4,3,1.5,35,0,2.0,HIGH
4,3,1.25,35,0,2.0,HIGH
7,5,1.57,33,0,3.5,HIGH
4,4,2.0,55,0,2.0,HIGH
3,3,1.67,21,0,1.5,HIGH
18,7,1.72,39,0,9.0,HIGH
21,4,1.14,40,0,10.5,HIGH
5,3,2.0,23,0,2.5,HIGH
1,1,1.0,19,0,0.5,LOW
31,5,1.03,18,0,15.5,HIGH
9,6,1.67,57,0,4.5,HIGH
3,3,1.33,26,0,1.5,HIGH
1,1,1.0,43,0,0.5,LOW
3,3,1.33,32,0,1.5,HIGH
13,6,1.77,26,0,6.5,HIGH
5,4,1.8,30,0,2.5,HIGH
4,2,1.75,32,0,2.0,HIGH
6,5,1.5,37,0,3.0,HIGH
20,1,1.0,31,0,10.0,HIGH
9,6,1.67,31,0,4.5,HIGH
4,4,1.5,37,0,2.0,HIGH
3,3,1.33,37,0,1.5,HIGH
10,8,1.5,24,0,5.0,HIGH
3,3,1.67,17,0,1.5,HIGH
4,3,2.0,19,0,2.0,HIGH
5,4,1.4,41,0,2.5,HIGH
1,1,1.0,29,0,0.5,LOW
2,2,1.5,48,0,1.0,HIGH
7,3,1.86,37,0,3.5,HIGH
22,3,2.0,35,0,11.0,HIGH
6,4,1.5,52,0,3.0,HIGH
1,1,2.0,33,0,0.5,LOW
4,4,1.5,25,0,2.0,HIGH
6,4,1.33,26,0,3.0,HIGH
5,4,1.8,38,0,2.5,HIGH
6,5,1.67,15,0,3.0,HIGH
4,4,1.5,34,0,2.0,HIGH
7,7,1.71,33,0,3.5,HIGH
4,4,1.75,27,0,2.0,HIGH
5,4,1.4,38,0,2.5,HIGH
3,3,1.67,38,0,1.5,HIGH
5,4,1.6,40,0,2.5,HIGH
2,2,1.5,29,0,1.0,HIGH
25,4,1.92,38,0,12.5,HIGH
3,3,1.67,33,0,1.5,HIGH
3,3,2.0,35,0,1.5,HIGH
1,1,2.0,37,0,0.5,LOW
10,7,1.6,42,0,5.0,HIGH
5,4,1.4,15,0,2.5,HIGH
41,5,1.93,28,0,20.5,HIGH
1,1,2.0,32,0,0.5,LOW
11,8,1.55,30,0,5.5,HIGH
3,3,1.33,33,0,1.5,HIGH
41,6,1.9,27,0,20.5,HIGH
11,7,1.73,25,0,5.5,HIGH
4,4,1.5,15,0,2.0,HIGH
5,5,2.0,18,0,2.5,HIGH
7,5,1.29,22,0,3.5,HIGH
25,4,1.96,40,0,12.5,HIGH
7,5,1.43,24,0,3.5,HIGH
5,5,1.4,37,0,2.5,HIGH
42,6,1.9,29,0,21.0,HIGH
3,3,1.67,38,0,1.5,HIGH
2,2,1.5,33,0,1.0,HIGH
2,2,1.0,23,0,1.0,LOW
3,3,1.33,15,0,1.5,HIGH
11,6,1.27,22,0,5.5,HIGH
5,3,1.8,15,0,2.5,HIGH
2,2,1.5,32,0,1.0,HIGH
1,1,1.0,29,0,0.5,LOW
9,5,1.44,40,0,4.5,HIGH
4,3,1.25,35,0,2.0,HIGH
2,1,2.0,49,0,1.0,HIGH
7,5,1.57,39,0,3.5,HIGH
8,4,1.88,22,0,4.0,HIGH
37,5,1.97,40,0,18.5,HIGH
8,4,1.63,24,0,4.0,HIGH
4,4,1.5,15,0,2.0,HIGH
1,1,1.0,35,0,0.5,LOW
20,6,1.85,31,0,10.0,HIGH
8,5,1.75,34,0,4.0,HIGH
6,5,1.5,36,0,3.0,HIGH
11,7,1.55,24,0,5.5,HIGH
4,3,1.75,46,0,2.0,HIGH
11,6,1.45,37,0,5.5,HIGH
4,4,1.5,37,0,2.0,HIGH
68,9,1.5,33,0,34.0,HIGH
5,4,1.2,22,0,2.5,HIGH
5,4,1.4,33,0,2.5,HIGH
4,4,1.25,19,0,2.0,HIGH
4,4,1.0,15,0,2.0,HIGH
6,5,1.17,19,0,3.0,HIGH
9,6,1.22,23,0,4.5,HIGH
2,2,2.0,17,0,1.0,HIGH
4,4,1.25,30,0,2.0,HIGH
29,3,1.86,34,0,14.5,HIGH
33,6,1.09,46,0,16.5,HIGH
7,6,1.57,48,0,3.5,HIGH
6,4,1.17,36,0,3.0,HIGH
6,5,1.67,28,0,3.0,HIGH
1,1,2.0,35,0,0.5,LOW
4,3,1.25,22,0,2.0,HIGH
42,9,1.86,34,0,21.0,HIGH
7,6,1.57,26,0,3.5,HIGH
2,2,1.5,33,0,1.0,HIGH
5,4,1.8,27,0,2.5,HIGH
26,7,1.88,22,0,13.0,HIGH
4,3,1.5,38,0,2.0,HIGH
2,2,2.0,15,0,1.0,HIGH
2,2,1.5,15,0,1.0,HIGH
9,6,1.56,32,0,4.5,HIGH
5,4,1.2,46,0,2.5,HIGH
4,4,1.25,40,0,2.0,HIGH
9,6,1.33,30,0,4.5,HIGH
13,8,1.46,35,0,6.5,HIGH
3,3,1.33,32,0,1.5,HIGH
55,5,1.91,22,0,27.5,HIGH
2,2,1.5,28,0,1.0,HIGH
8,7,1.63,35,0,4.0,HIGH
7,4,1.86,23,0,3.5,HIGH
19,8,1.47,26,0,9.5,HIGH
10,7,1.4,46,0,5.0,HIGH
8,4,1.88,31,0,4.0,HIGH
3,2,1.67,15,0,1.5,HIGH
6,3,2.0,31,0,3.0,HIGH
2,2,2.0,41,0,1.0,HIGH
2,2,2.0,28,0,1.0,HIGH
9,5,1.78,28,0,4.5,HIGH
2,1,2.0,34,0,1.0,HIGH
14,7,1.5,28,0,7.0,HIGH
7,5,1.43,28,0,3.5,HIGH
9,6,1.44,28,0,4.5,HIGH
2,2,1.5,21,0,1.0,HIGH
1,1,2.0,43,0,0.5,LOW
1,1,1.0,22,0,0.5,LOW
2,2,2.0,26,0,1.0,HIGH
3,3,2.0,39,0,1.5,HIGH
1,1,2.0,22,0,0.5,LOW
4,3,1.5,35,0,2.0,HIGH
5,5,1.6,40,0,2.5,HIGH
3,3,2.0,44,0,1.5,HIGH
1,1,1.0,28,0,0.5,LOW
10,6,1.7,26,0,5.0,HIGH
6,3,1.83,33,0,3.0,HIGH
4,4,1.5,22,0,2.0,HIGH
8,5,1.5,37,0,4.0,HIGH
5,5,1.8,40,0,2.5,HIGH
1,1,2.0,34,0,0.5,LOW
3,3,1.67,43,0,1.5,HIGH
3,3,1.33,45,0,1.5,HIGH
4,4,1.75,26,0,2.0,HIGH
39,7,1.15,17,0,19.5,HIGH
36,6,1.22,37,0,18.0,HIGH
3,2,2.0,45,0,1.5,HIGH
1,1,1.0,39,0,0.5,LOW
8,6,1.63,28,0,4.0,HIGH
5,4,1.6,34,0,2.5,HIGH
4,3,1.5,21,0,2.0,HIGH
10,7,1.4,31,0,5.0,HIGH
32,8,1.88,39,0,16.0,HIGH
3,3,1.33,32,0,1.5,HIGH
4,4,1.5,27,0,2.0,HIGH
6,3,1.67,50,0,3.0,HIGH
2,2,1.5,40,0,1.0,HIGH
26,5,1.96,38,0,13.0,HIGH
11,7,1.64,40,0,5.5,HIGH
1,1,1.0,35,0,0.5,LOW
2,2,1.5,34,0,1.0,HIGH
2,2,1.0,31,0,1.0,LOW
6,5,1.5,42,0,3.0,HIGH
5,5,1.4,49,0,2.5,HIGH
13,6,1.77,42,0,6.5,HIGH
13,6,1.77,31,0,6.5,HIGH
1,1,1.0,35,0,0.5,LOW
45,5,1.89,40,0,22.5,HIGH
4,4,1.5,35,0,2.0,HIGH
5,3,1.6,19,0,2.5,HIGH
4,3,1.0,19,0,2.0,HIGH
5,5,1.4,15,0,2.5,HIGH
3,2,1.67,42,0,1.5,HIGH
21,8,1.71,35,0,10.5,HIGH
2,1,1.0,15,0,1.0,LOW
6,4,1.67,20,0,3.0,HIGH
4,3,1.75,21,0,2.0,HIGH
4,4,1.75,29,0,2.0,HIGH
4,3,2.0,15,0,2.0,HIGH
6,3,1.83,23,0,3.0,HIGH
3,2,2.0,40,0,1.5,HIGH
5,5,1.6,31,0,2.5,HIGH
5,4,1.8,30,0,2.5,HIGH
2,2,1.0,24,0,1.0,LOW
6,5,1.67,21,0,3.0,HIGH
8,3,2.0,34,0,4.0,HIGH
6,4,1.67,30,0,3.0,HIGH
1,1,2.0,20,0,0.5,LOW
1,1,2.0,15,0,0.5,LOW
8,6,1.75,20,0,4.0,HIGH
4,3,1.5,33,0,2.0,HIGH
6,5,1.83,40,0,3.0,HIGH
7,5,1.57,32,0,3.5,HIGH
6,6,1.67,46,0,3.0,HIGH
3,2,1.67,44,0,1.5,HIGH
4,4,1.5,52,0,2.0,HIGH
4,3,1.75,34,0,2.0,HIGH
5,4,1.4,33,0,2.5,HIGH
8,5,1.75,21,0,4.0,HIGH
2,2,2.0,34,0,1.0,HIGH
5,3,2.0,33,0,2.5,HIGH
3,3,1.67,47,0,1.5,HIGH
33,4,1.97,17,0,16.5,HIGH
7,5,1.29,42,0,3.5,HIGH
6,6,1.5,34,0,3.0,HIGH
2,2,1.5,42,0,1.0,HIGH
2,2,1.0,36,0,1.0,LOW
2,2,1.5,38,0,1.0,HIGH
8,5,1.75,26,0,4.0,HIGH
12,7,1.58,22,0,6.0,HIGH
27,7,1.78,28,0,13.5,HIGH
44,6,1.05,46,0,22.0,HIGH
2,2,1.5,16,0,1.0,HIGH
3,2,1.67,38,0,1.5,HIGH
10,8,1.7,39,0,5.0,HIGH
12,9,1.5,33,0,6.0,HIGH
6,5,1.5,27,0,3.0,HIGH
3,2,1.33,26,0,1.5,HIGH
12,8,1.75,46,0,6.0,HIGH
2,2,1.0,21,0,1.0,LOW
3,3,1.67,21,0,1.5,HIGH
11,7,1.55,44,0,5.5,HIGH
3,2,2.0,23,0,1.5,HIGH
55,9,1.89,23,0,27.5,HIGH
4,4,1.25,15,0,2.0,HIGH
8,7,1.25,17,0,4.0,HIGH
5,4,1.6,28,0,2.5,HIGH
5,4,1.6,29,0,2.5,HIGH
9,6,1.78,27,0,4.5,HIGH
2,2,1.5,27,0,1.0,HIGH
24,2,1.0,18,0,12.0,HIGH
60,6,1.08,16,0,30.0,HIGH
7,4,1.71,25,0,3.5,HIGH
8,5,1.63,36,0,4.0,HIGH
8,7,1.5,33,0,4.0,HIGH
72,9,1.88,54,0,36.0,HIGH
8,8,1.38,18,0,4.0,HIGH
7,5,1.86,41,0,3.5,HIGH
1,1,2.0,25,0,0.5,LOW
4,4,1.25,15,0,2.0,HIGH
4,4,1.5,32,0,2.0,HIGH
5,5,1.6,41,0,2.5,HIGH
7,6,1.57,47,0,3.5,HIGH
5,4,1.8,26,0,2.5,HIGH
11,7,1.64,36,0,5.5,HIGH
7,6,1.71,42,0,3.5,HIGH
1,1,2.0,35,0,0.5,LOW
4,3,1.75,39,0,2.0,HIGH
33,3,1.97,43,0,16.5,HIGH
1,1,1.0,35,0,0.5,LOW
10,6,1.7,20,0,5.0,HIGH
4,2,1.0,33,0,2.0,HIGH
7,5,1.57,21,0,3.5,HIGH
14,11,1.64,40,0,7.0,HIGH
3,3,1.0,38,0,1.5,HIGH
3,3,1.67,37,0,1.5,HIGH
2,2,1.5,42,0,1.0,HIGH
10,6,1.8,31,0,5.0,HIGH
8,6,1.38,46,0,4.0,HIGH
3,3,1.33,38,0,1.5,HIGH
16,9,1.63,34,0,8.0,HIGH
22,4,1.95,43,0,11.0,HIGH
3,3,1.33,36,0,1.5,HIGH
2,2,2.0,51,0,1.0,HIGH
2,2,2.0,35,0,1.0,HIGH
2,2,1.5,21,0,1.0,HIGH
9,8,1.67,26,0,4.5,HIGH
4,4,1.25,15,0,2.0,HIGH
6,5,1.33,26,0,3.0,HIGH
6,5,1.33,50,0,3.0,HIGH
4,4,1.0,49,0,2.0,HIGH
10,5,1.8,37,0,5.0,HIGH
3,3,1.67,15,0,1.5,HIGH
5,4,1.4,33,0,2.5,HIGH
4,4,1.75,35,0,2.0,HIGH
28,3,1.96,18,0,14.0,HIGH
35,6,1.94,26,0,17.5,HIGH
1,1,2.0,15,0,0.5,LOW
2,2,1.5,15,0,1.0,HIGH
3,3,1.67,23,0,1.5,HIGH
2,2,1.5,15,0,1.0,HIGH
6,5,1.33,51,0,3.0,HIGH
6,4,1.67,43,0,3.0,HIGH
2,2,1.5,24,0,1.0,HIGH
9,4,1.67,21,0,4.5,HIGH
6,4,1.5,29,0,3.0,HIGH
36,6,1.17,24,0,18.0,HIGH
1,1,1.0,15,0,0.5,LOW
3,3,1.33,41,0,1.5,HIGH
22,4,2.0,28,0,11.0,HIGH
2,2,2.0,45,0,1.0,HIGH
13,6,1.54,24,0,6.5,HIGH
3,3,1.67,19,0,1.5,HIGH
7,6,1.43,26,0,3.5,HIGH
4,4,1.25,38,0,2.0,HIGH
25,4,1.92,37,0,12.5,HIGH
7,4,2.0,29,0,3.5,HIGH
4,3,1.75,24,0,2.0,HIGH
13,7,1.46,34,0,6.5,HIGH
3,2,1.33,28,0,1.5,HIGH
11,6,1.55,34,0,5.5,HIGH
5,5,1.4,37,0,2.5,HIGH
7,5,1.43,28,0,3.5,HIGH
9,7,1.56,26,0,4.5,HIGH
6,5,1.5,37,0,3.0,HIGH
4,2,2.0,25,0,2.0,HIGH
12,8,1.67,29,0,6.0,HIGH
11,6,1.73,26,0,5.5,HIGH
3,3,1.33,52,0,1.5,HIGH
2,2,1.5,30,0,1.0,HIGH
6,5,1.67,15,0,3.0,HIGH
2,2,1.5,30,0,1.0,HIGH
33,4,1.97,37,0,16.5,HIGH
10,5,1.4,35,0,5.0,HIGH
3,3,1.67,42,0,1.5,HIGH
3,3,1.67,28,0,1.5,HIGH
6,3,1.5,43,0,3.0,HIGH
2,2,2.0,37,0,1.0,HIGH
9,6,1.78,35,0,4.5,HIGH
3,3,1.33,24,0,1.5,HIGH
2,2,1.5,44,0,1.0,HIGH
14,9,1.36,30,0,7.0,HIGH
40,7,1.88,27,0,20.0,HIGH
32,6,1.91,37,0,16.0,HIGH
2,2,2.0,15,0,1.0,HIGH
8,6,1.38,24,0,4.0,HIGH
9,6,1.56,43,0,4.5,HIGH
5,4,1.6,38,0,2.5,HIGH
6,4,1.33,33,0,3.0,HIGH
6,4,1.33,30,0,3.0,HIGH
4,4,1.5,28,0,2.0,HIGH
12,7,1.58,33,0,6.0,HIGH
19,9,1.53,22,0,9.5,HIGH
4,4,1.75,42,0,2.0,HIGH
11,8,1.55,27,0,5.5,HIGH
4,3,1.5,38,0,2.0,HIGH
3,3,1.67,28,0,1.5,HIGH
2,2,2.0,36,0,1.0,HIGH
8,6,1.75,23,0,4.0,HIGH
26,3,1.96,28,0,13.0,HIGH
18,10,1.44,25,0,9.0,HIGH
6,6,1.67,45,0,3.0,HIGH
6,4,1.83,23,0,3.0,HIGH
10,7,1.6,19,0,5.0,HIGH
6,5,1.83,43,0,3.0,HIGH
3,3,1.67,47,0,1.5,HIGH
4,4,1.25,44,0,2.0,HIGH
3,3,1.67,30,0,1.5,HIGH
4,2,2.0,33,0,2.0,HIGH
6,6,1.33,27,0,3.0,HIGH
15,9,1.27,48,0,7.5,HIGH
5,4,1.6,37,0,2.5,HIGH
9,7,1.44,26,0,4.5,HIGH
6,5,1.67,19,0,3.0,HIGH
4,3,1.0,39,0,2.0,HIGH
2,1,1.0,15,0,1.0,LOW
1,1,1.0,15,0,0.5,LOW
4,4,1.5,25,0,2.0,HIGH
5,4,1.4,36,0,2.5,HIGH
5,5,1.6,47,0,2.5,HIGH
5,4,1.4,29,0,2.5,HIGH
2,2,1.5,27,0,1.0,HIGH
6,4,1.33,26,0,3.0,HIGH
6,5,1.5,30,0,3.0,HIGH
31,10,1.26,31,0,15.5,HIGH
52,8,1.1,43,0,26.0,HIGH
5,3,1.4,18,0,2.5,HIGH
3,3,1.33,32,0,1.5,HIGH
8,6,1.88,34,0,4.0,HIGH
3,2,1.67,29,0,1.5,HIGH
3,3,1.67,15,0,1.5,HIGH
10,7,1.3,24,0,5.0,HIGH
11,7,1.55,32,0,5.5,HIGH
10,8,1.4,33,0,5.0,HIGH
2,1,2.0,36,0,1.0,HIGH
4,4,1.75,41,0,2.0,HIGH
7,6,1.57,21,0,3.5,HIGH
2,2,1.5,27,0,1.0,HIGH
3,3,1.67,40,0,1.5,HIGH
8,6,1.5,38,0,4.0,HIGH
3,3,1.67,19,0,1.5,HIGH
8,6,1.63,44,0,4.0,HIGH
6,6,1.67,30,0,3.0,HIGH
10,8,1.4,24,0,5.0,HIGH
1,1,2.0,24,0,0.5,LOW
4,4,1.75,34,0,2.0,HIGH
5,4,1.6,31,0,2.5,HIGH
50,3,1.04,30,0,25.0,HIGH
6,3,1.83,23,0,3.0,HIGH
