CSID,CaseMasterID,csdate,cstype,PolicePersonID
54,166,2023-09-16 05:15:32,A,1677
55,169,2023-11-24 02:27:53,A,1680
56,170,2024-08-02 20:11:08,A,1687
57,172,2025-04-23 18:16:36,A,1683
58,173,2023-06-27 00:49:43,A,1731
59,175,2023-04-06 23:40:41,A,1689
60,176,2024-12-25 10:57:59,A,1693
61,177,2023-12-14 18:21:55,A,213
62,182,2024-10-03 12:31:43,A,251
63,183,2023-02-18 06:56:20,A,1669
64,184,2023-11-10 06:57:52,C,1730
65,185,2024-02-16 14:22:57,B,193
66,187,2024-04-01 01:06:03,A,183
67,188,2023-06-29 21:51:11,A,1720
68,189,2024-06-23 19:50:01,A,1697
69,192,2023-09-09 05:12:24,B,192
70,193,2024-07-08 17:11:26,A,239
71,194,2023-08-12 13:31:33,A,1703
72,195,2024-10-14 17:51:06,A,1697
73,197,2023-10-03 23:31:25,A,1727
74,204,2024-03-02 20:37:52,C,199
75,205,2023-06-25 11:02:09,A,1669
76,208,2023-04-25 06:31:16,A,1693
77,209,2024-04-13 10:29:32,A,1661
78,214,2023-09-03 10:08:06,C,1680
79,220,2024-10-01 21:59:16,A,226
80,221,2024-12-19 00:09:50,A,1734
81,223,2023-12-23 21:41:39,A,235
82,226,2024-05-31 09:19:04,A,198
83,227,2025-01-14 02:40:11,A,174
84,238,2024-12-22 07:23:23,A,233
85,239,2023-06-28 18:39:12,C,235
86,240,2024-09-17 18:39:58,A,241
87,242,2024-12-06 18:27:17,B,243
88,244,2023-08-19 05:53:54,A,1660
89,247,2024-09-17 23:39:34,A,192
90,249,2024-10-03 00:59:16,B,189
91,255,2023-07-25 01:19:08,A,239
92,259,2024-04-06 05:03:51,A,1685
93,260,2024-04-11 14:22:20,A,1726
94,265,2025-06-10 15:06:30,A,1677
95,266,2024-10-14 10:11:45,A,197
96,269,2024-01-14 12:45:44,A,1651
97,270,2024-01-22 05:39:55,A,236
98,271,2023-11-21 02:14:20,A,1705
99,272,2023-09-17 16:55:19,A,1682
100,274,2024-05-30 05:57:23,A,185
101,276,2024-09-20 18:10:15,A,212
102,280,2023-07-23 18:46:30,A,1684
103,287,2024-05-10 07:41:59,A,1720
104,294,2023-06-21 13:58:27,A,1697
105,297,2023-04-28 02:19:17,B,240
106,298,2023-04-19 10:54:57,A,192
107,301,2023-10-02 14:31:13,B,996
108,304,2024-06-09 22:31:49,A,1227
109,306,2023-08-12 21:37:16,A,1188
110,311,2024-06-20 10:03:29,A,1182
111,312,2024-01-20 06:27:05,A,1174
112,315,2023-05-07 09:14:34,A,375
113,319,2023-05-03 02:18:56,A,1228
114,320,2024-04-27 11:23:35,A,1016
115,321,2024-11-02 22:07:00,A,342
116,331,2023-08-09 19:23:15,C,382
117,332,2023-12-04 17:56:54,B,359
118,333,2023-07-31 07:21:40,A,396
119,335,2023-04-12 03:01:27,A,362
120,336,2025-01-15 13:03:27,A,1036
121,337,2024-08-06 07:28:35,B,1033
122,340,2023-07-22 01:22:04,A,351
123,342,2025-03-28 17:18:58,B,382
124,351,2024-04-03 00:00:13,A,1001
125,352,2024-07-14 16:19:13,B,357
126,353,2024-02-22 23:51:43,A,382
127,354,2023-11-21 18:48:45,C,1212
128,356,2023-12-02 18:52:23,A,1022
129,358,2023-07-31 11:40:14,C,396
130,359,2023-08-29 23:18:25,A,1158
131,360,2024-04-10 05:08:20,C,1168
132,372,2023-10-16 04:05:45,A,1035
133,374,2025-01-24 05:36:03,C,1189
134,376,2023-12-21 07:25:09,A,386
135,382,2024-09-07 08:09:26,A,399
136,383,2024-02-15 20:53:22,A,1215
137,387,2023-10-28 14:26:58,A,1157
138,390,2024-06-25 22:56:39,A,995
139,391,2024-07-19 20:38:06,A,1015
140,399,2024-02-15 00:14:39,A,1225
141,400,2024-03-23 21:05:21,A,384
142,402,2025-02-26 11:52:42,A,1043
143,406,2024-12-19 13:53:43,A,1049
144,408,2023-10-10 21:56:52,C,1238
145,410,2023-11-29 03:15:47,A,1041
146,412,2025-03-20 10:52:26,A,1062
147,420,2024-04-20 01:39:35,A,374
148,423,2024-12-27 07:58:52,A,1051
149,424,2023-11-02 09:35:23,A,1156
150,431,2024-02-27 11:31:47,A,344
151,437,2024-03-17 15:13:29,A,368
152,439,2024-08-10 05:51:56,A,1176
153,444,2024-10-05 16:27:09,A,1061
154,453,2023-05-25 14:58:36,A,2235
155,454,2023-09-24 02:55:10,A,2288
156,455,2023-02-26 12:34:37,A,2321
157,458,2025-03-13 02:36:29,B,482
158,475,2024-04-26 04:33:21,A,2284
159,477,2024-08-10 05:51:32,A,2359
160,480,2024-11-11 14:02:03,A,423
161,481,2024-01-24 20:42:08,A,2216
162,483,2025-04-29 11:55:47,B,2292
163,484,2024-04-02 05:02:06,A,2301
164,487,2023-08-30 00:07:19,A,2286
165,488,2023-09-14 15:30:28,A,2234
166,489,2024-10-17 21:20:01,A,2262
167,490,2024-10-24 15:35:43,A,2289
168,491,2023-11-18 22:12:07,B,2330
169,492,2023-11-12 03:33:55,C,433
170,493,2024-01-13 15:01:52,A,2242
171,495,2025-02-26 06:48:06,A,2295
172,498,2023-05-27 03:37:08,A,487
173,501,2023-05-05 06:15:22,A,2264
174,503,2024-07-03 12:41:37,A,2342
175,509,2023-12-14 13:24:59,A,2340
176,513,2025-03-02 16:14:30,C,471
177,517,2023-10-11 13:35:53,B,426
178,520,2023-12-04 21:21:58,A,2246
179,525,2023-10-17 21:16:43,A,498
180,528,2025-03-21 12:47:34,A,2232
181,529,2024-12-17 22:11:03,A,484
182,532,2023-04-24 12:15:56,A,2245
183,534,2024-11-02 12:02:28,A,477
184,537,2025-03-19 06:13:11,A,499
185,539,2023-10-09 22:41:24,A,2241
186,545,2024-07-04 14:05:35,A,425
187,546,2023-09-19 14:39:40,A,2248
188,547,2023-12-10 22:05:03,A,485
189,550,2024-09-05 20:38:35,A,2347
190,551,2023-07-23 20:03:55,A,2218
191,553,2025-04-16 09:36:49,A,2224
192,556,2023-08-03 00:58:09,A,2236
193,557,2025-02-24 00:16:12,A,2249
194,562,2023-07-04 16:37:18,A,2316
195,567,2025-02-09 16:53:02,A,2244
196,570,2023-09-29 11:16:22,A,2311
197,575,2024-12-03 10:25:19,C,457
198,577,2023-07-12 03:41:32,A,487
199,579,2025-05-07 16:55:10,A,2298
200,582,2024-12-30 08:06:15,C,2352
201,585,2023-08-24 02:24:44,A,2322
202,586,2024-01-24 04:49:53,A,2255
203,588,2025-04-03 03:39:16,A,2338
204,591,2023-06-24 19:34:32,C,2327
205,592,2023-05-31 01:32:42,A,2232
206,604,2024-04-26 18:52:00,A,541
207,605,2023-12-23 18:10:13,A,1335
208,614,2023-09-22 04:07:14,A,568
209,615,2025-03-01 08:43:00,A,1404
210,617,2024-05-22 21:10:08,B,1399
211,618,2025-06-27 02:54:07,C,1407
212,621,2024-09-20 20:10:24,A,1410
213,626,2024-11-26 08:05:44,A,1342
214,627,2025-01-03 18:25:07,B,1364
215,629,2024-04-16 21:17:07,A,527
216,634,2024-05-23 13:43:13,A,1364
217,637,2023-09-24 22:33:08,A,1391
218,639,2023-12-09 04:19:10,C,1348
219,640,2025-03-29 20:46:42,A,564
220,641,2025-01-29 14:07:59,A,564
221,643,2024-11-15 15:46:16,A,562
222,645,2024-11-26 04:58:33,B,561
223,647,2024-02-12 01:30:46,A,1329
224,649,2025-01-24 17:34:03,A,551
225,650,2024-05-08 11:42:18,A,1369
226,652,2023-07-21 04:32:35,A,1333
227,654,2023-10-05 22:53:28,A,523
228,655,2023-12-16 08:17:03,C,576
229,656,2023-05-12 11:13:58,A,577
230,663,2024-06-27 15:38:56,C,1396
231,667,2023-05-07 08:54:15,B,505
232,668,2023-09-19 15:26:38,A,548
233,670,2024-12-30 21:00:10,A,530
234,671,2024-04-05 14:11:13,A,1386
235,672,2025-03-31 04:57:35,A,1323
236,673,2023-12-07 22:54:55,A,1407
237,675,2024-03-20 19:29:44,B,1368
238,676,2023-05-21 08:06:27,C,527
239,677,2023-11-13 17:50:44,A,567
240,678,2024-10-15 08:50:46,A,564
241,691,2024-02-12 18:16:29,A,1324
242,693,2024-12-29 23:17:44,A,1343
243,696,2024-11-03 22:11:43,C,510
244,697,2023-07-29 03:44:26,B,1343
245,701,2024-05-05 06:01:16,B,1399
246,704,2024-10-03 01:49:02,A,1390
247,708,2024-08-30 06:19:48,B,583
248,712,2024-04-24 15:07:08,B,542
249,713,2024-12-09 14:12:12,B,561
250,714,2023-12-27 16:14:36,A,516
251,715,2023-10-31 02:05:10,A,582
252,718,2023-06-26 08:01:50,A,508
253,724,2024-08-20 21:23:49,A,1335
254,725,2023-05-31 08:15:34,A,1389
255,726,2023-11-07 02:04:04,A,531
256,733,2024-11-16 11:50:48,A,565
257,734,2025-01-10 20:30:22,C,1373
258,743,2023-06-08 16:13:21,A,1360
259,745,2024-07-02 20:58:32,A,1343
260,748,2024-02-07 05:45:09,A,1353
261,752,2023-09-30 19:15:40,A,103
262,758,2025-02-04 04:20:46,A,110
263,761,2024-07-22 05:02:04,A,140
264,762,2023-12-15 13:37:37,A,258
265,765,2023-11-14 08:55:52,C,277
266,766,2024-04-09 14:14:58,A,280
267,767,2024-08-22 04:08:36,A,97
268,768,2024-07-21 16:05:21,A,269
269,770,2024-05-31 13:41:16,A,305
270,771,2024-09-18 15:47:04,B,129
271,772,2023-04-06 18:51:03,A,303
272,782,2025-02-03 04:17:37,A,161
273,783,2025-04-20 02:19:27,B,84
274,789,2023-11-26 20:50:56,A,272
275,790,2024-02-27 05:59:31,A,133
276,791,2024-04-18 06:58:47,A,98
277,792,2024-08-15 08:48:23,A,264
278,796,2024-03-20 11:45:35,A,93
279,797,2024-01-09 02:33:02,A,91
280,798,2024-09-28 19:10:15,C,262
281,799,2025-06-04 17:14:36,A,255
282,803,2025-03-08 20:20:17,A,118
283,804,2025-01-04 03:13:05,A,115
284,806,2023-10-23 15:29:19,A,337
285,807,2024-02-01 00:31:30,A,127
286,811,2023-06-12 17:09:15,A,92
287,812,2023-12-04 15:15:22,A,299
288,813,2024-02-02 06:29:53,A,139
289,818,2025-01-16 14:29:40,B,305
290,821,2023-04-19 12:23:25,A,153
291,823,2023-09-23 04:21:13,A,339
292,824,2025-02-11 16:11:14,A,307
293,830,2025-02-21 20:23:50,A,308
294,831,2024-09-30 16:54:36,C,113
295,832,2024-03-30 14:56:52,A,269
296,833,2024-11-20 01:28:35,A,145
297,838,2024-06-28 12:38:42,C,293
298,850,2023-09-15 21:06:26,A,306
299,851,2024-10-05 18:27:14,A,331
300,854,2025-02-03 10:33:02,C,277
301,856,2023-12-07 07:18:21,A,326
302,858,2024-12-10 00:29:22,A,152
303,859,2023-03-20 13:17:05,A,317
304,865,2023-04-28 15:21:38,A,257
305,866,2024-04-04 17:30:56,C,116
306,870,2023-05-23 08:46:57,A,151
307,873,2023-07-31 02:07:04,A,314
308,874,2024-05-20 05:47:35,A,89
309,875,2025-05-13 21:35:49,C,149
310,879,2024-06-08 18:06:38,C,151
311,885,2024-12-28 12:46:20,A,337
312,890,2023-10-09 19:30:23,A,98
313,891,2024-12-28 00:34:31,A,118
314,894,2023-11-11 06:38:40,A,339
315,895,2025-02-08 02:03:14,B,136
316,897,2023-07-06 11:08:13,B,303
317,900,2023-05-19 04:17:17,A,156
318,901,2024-12-01 01:30:31,A,734
319,903,2024-09-23 15:21:30,A,2378
320,906,2023-11-24 07:51:56,A,2404
321,913,2023-09-06 08:44:38,A,1197
322,918,2024-12-10 14:46:35,C,1181
323,925,2023-07-28 16:35:43,A,1171
324,926,2024-12-20 02:38:18,A,1170
325,927,2024-04-23 20:58:46,A,1182
326,928,2025-05-15 16:58:30,B,2384
327,930,2023-12-30 16:38:33,A,1207
328,931,2023-05-30 02:27:49,A,1230
329,934,2023-11-24 05:51:04,A,2363
330,936,2024-05-16 06:47:19,A,2362
331,940,2023-08-21 08:40:05,A,1162
332,945,2024-05-02 09:57:48,A,669
333,948,2023-07-24 05:43:35,A,2395
334,949,2024-01-14 13:29:44,C,1192
335,954,2024-05-12 13:29:56,A,1227
336,955,2025-01-12 23:16:25,A,687
337,956,2024-02-18 05:15:59,A,721
338,961,2024-01-07 10:02:32,C,2379
339,962,2024-03-08 10:01:28,A,1195
340,969,2023-05-02 09:36:18,A,676
341,970,2025-01-03 06:17:33,A,1203
342,971,2025-01-01 03:54:19,A,721
343,973,2023-04-05 01:08:56,A,1209
344,975,2025-04-19 14:38:16,A,732
345,978,2024-02-14 17:33:23,A,733
346,979,2025-01-18 20:43:16,A,745
347,980,2024-10-17 15:04:30,A,2434
348,981,2023-06-18 23:20:59,B,1227
349,984,2024-08-06 03:38:34,B,1212
350,987,2023-09-09 15:33:31,C,1175
351,988,2025-04-11 11:15:46,A,732
352,990,2024-07-02 13:37:18,B,2419
353,991,2023-06-03 17:06:36,B,705
354,992,2023-08-18 12:28:15,A,732
355,994,2024-10-12 22:06:52,A,2414
356,1001,2024-01-04 04:07:28,A,1181
357,1002,2024-08-29 02:40:33,A,2371
358,1006,2023-06-02 06:23:24,A,714
359,1014,2023-06-01 19:48:55,A,2407
360,1017,2024-08-01 13:01:57,A,667
361,1019,2025-03-29 21:16:41,A,2381
362,1021,2023-12-14 02:59:28,A,2406
363,1023,2025-02-03 20:00:36,C,1169
364,1030,2025-01-11 14:54:21,A,731
365,1033,2025-04-20 00:52:29,B,702
366,1035,2023-04-23 23:02:34,A,2390
367,1036,2024-06-28 14:46:28,A,2405
368,1037,2023-09-21 16:07:04,C,699
369,1038,2024-03-07 16:57:53,A,1218
370,1040,2024-08-14 21:12:34,A,700
371,1042,2023-09-02 12:21:59,A,2436
372,1044,2023-11-16 06:47:47,A,2436
373,1054,2024-10-29 11:47:52,A,2168
374,1056,2023-11-02 00:12:10,A,752
375,1061,2024-09-30 10:10:00,A,2058
376,1062,2023-03-03 06:57:26,A,2074
377,1068,2024-12-26 08:20:38,A,760
378,1070,2024-11-04 18:13:05,A,2120
379,1074,2023-09-28 07:01:37,C,2179
380,1075,2023-08-11 07:27:18,A,2168
381,1076,2024-06-21 06:23:38,A,2100
382,1078,2024-04-04 20:40:58,A,2115
383,1079,2024-10-24 19:48:12,A,778
384,1081,2024-06-12 20:33:08,C,782
385,1084,2023-06-11 04:31:40,A,2058
386,1086,2024-01-25 13:22:44,A,819
387,1087,2024-05-01 06:26:08,A,798
388,1088,2023-12-20 13:58:54,C,2081
389,1091,2023-07-27 17:21:27,A,2127
390,1094,2024-01-29 13:10:24,A,2202
391,1095,2024-03-22 09:40:21,A,770
392,1098,2023-08-06 01:06:26,A,2073
393,1103,2023-05-29 12:11:02,B,819
394,1106,2023-06-24 20:03:19,A,792
395,1107,2024-07-14 12:44:56,A,760
396,1108,2025-03-03 11:33:26,A,2133
397,1109,2024-11-08 19:24:12,A,2177
398,1118,2023-10-19 16:21:03,A,780
399,1120,2024-10-07 01:46:30,A,787
400,1122,2024-09-20 17:58:18,B,2110
401,1126,2023-08-21 01:51:37,A,2135
402,1130,2025-02-13 06:04:08,A,2072
403,1131,2023-09-15 18:19:08,A,2205
404,1138,2024-12-15 20:46:37,A,2113
405,1139,2023-04-08 09:53:59,A,2140
406,1141,2024-02-03 15:11:28,A,832
407,1144,2023-06-08 10:08:38,A,790
408,1146,2024-08-28 08:37:14,A,2128
409,1147,2025-01-31 03:49:50,A,2188
410,1149,2024-08-21 21:26:44,A,2160
411,1151,2024-07-29 20:46:34,A,780
412,1152,2025-03-03 10:09:03,C,2106
413,1153,2024-08-09 05:41:16,A,2075
414,1155,2024-07-17 18:52:28,A,810
415,1157,2024-08-02 08:25:01,B,2130
416,1159,2023-08-17 20:45:05,A,2128
417,1161,2025-01-12 15:39:10,A,2136
418,1162,2025-05-01 17:49:12,A,2195
419,1166,2023-11-12 16:58:52,A,759
420,1167,2024-06-02 00:09:52,A,2068
421,1173,2023-12-05 19:56:36,A,768
422,1177,2023-07-21 10:23:43,A,794
423,1186,2023-12-22 14:37:28,C,2170
424,1189,2023-06-23 23:19:00,A,2181
425,1190,2023-08-29 02:44:06,A,2197
426,1192,2023-11-20 17:06:15,A,2082
427,1195,2024-05-17 06:11:07,A,2168
428,1203,2023-09-09 23:09:58,A,976
429,1205,2024-05-21 06:54:56,A,914
430,1209,2025-05-04 12:44:25,B,845
431,1211,2024-09-07 02:46:54,A,982
432,1214,2023-10-25 17:41:48,A,899
433,1216,2024-06-06 12:41:57,A,934
434,1219,2025-01-10 01:52:14,B,945
435,1223,2024-03-17 16:52:14,A,918
436,1224,2025-01-28 23:03:58,A,882
437,1225,2024-01-09 23:52:54,A,868
438,1230,2024-04-23 11:41:27,A,945
439,1233,2024-11-25 01:05:32,C,915
440,1234,2024-01-28 13:30:37,A,885
441,1236,2024-11-19 19:59:01,A,970
442,1239,2023-06-24 06:49:08,A,943
443,1240,2024-01-20 06:48:18,A,891
444,1241,2025-03-26 13:43:42,A,835
445,1244,2024-02-16 21:03:33,C,952
446,1245,2024-01-30 13:36:24,A,944
447,1247,2024-01-24 22:08:39,A,890
448,1250,2024-09-21 22:48:29,A,889
449,1254,2023-03-09 17:43:21,A,877
450,1255,2024-01-19 08:38:25,A,970
451,1259,2024-10-10 03:10:39,C,955
452,1267,2023-10-15 19:06:13,B,945
453,1271,2023-03-12 18:49:38,A,952
454,1274,2024-09-22 03:44:46,A,965
455,1277,2023-04-27 12:47:11,A,887
456,1283,2025-01-28 21:17:34,A,965
457,1294,2024-07-25 22:00:11,C,953
458,1296,2024-02-17 04:37:36,A,864
459,1297,2023-05-18 13:20:04,A,954
460,1299,2023-07-29 21:49:28,A,878
461,1303,2025-03-24 10:00:17,A,848
462,1309,2024-12-06 20:53:16,A,981
463,1312,2023-12-24 10:27:30,A,950
464,1314,2025-02-01 16:49:17,A,869
465,1316,2024-12-24 17:30:12,B,880
466,1319,2024-01-05 02:38:38,A,860
467,1320,2024-03-10 13:53:59,A,992
468,1325,2025-04-26 21:22:35,A,929
469,1326,2025-05-05 09:09:37,A,903
470,1327,2023-09-13 18:16:42,A,874
471,1329,2023-11-30 14:16:30,A,921
472,1333,2025-03-16 02:15:07,A,896
473,1334,2023-10-25 18:09:37,B,892
474,1336,2023-10-11 05:07:10,A,902
475,1339,2025-04-04 08:23:47,A,840
476,1342,2024-10-12 21:45:47,A,858
477,1345,2024-07-10 11:49:43,A,966
478,1347,2025-02-24 21:41:41,A,956
479,1351,2024-06-30 04:56:32,A,1425
480,1352,2025-01-14 17:05:31,C,1434
481,1356,2024-12-08 10:30:27,A,1465
482,1357,2024-08-15 07:04:58,A,1428
483,1359,2024-12-30 22:35:01,A,646
484,1362,2023-12-18 13:17:49,A,1460
485,1364,2024-07-17 13:56:26,A,1484
486,1367,2024-10-28 05:06:13,B,599
487,1369,2023-12-23 06:22:17,A,1440
488,1370,2024-06-24 22:01:35,A,1431
489,1373,2024-05-27 09:16:17,A,1485
490,1375,2024-04-07 01:57:08,C,657
491,1376,2025-02-28 23:47:27,A,586
492,1377,2023-04-10 08:44:38,A,615
493,1383,2024-02-03 09:39:48,A,1427
494,1388,2023-08-24 22:05:21,A,662
495,1390,2025-01-14 13:21:21,A,659
496,1393,2024-10-17 04:09:10,A,643
497,1395,2023-10-23 09:12:35,C,1413
498,1405,2023-08-21 23:16:56,A,1433
499,1409,2024-02-29 21:40:05,A,1448
500,1413,2024-08-10 02:18:31,A,1460
501,1415,2024-11-06 01:26:41,A,1435
502,1416,2024-05-01 19:31:16,A,1426
503,1419,2023-09-22 01:37:01,A,1440
504,1420,2023-08-25 13:45:46,A,659
505,1421,2023-09-21 05:31:59,A,1432
506,1423,2025-03-02 05:54:37,A,1420
507,1429,2024-03-26 12:34:24,A,1438
508,1434,2024-04-28 12:05:25,A,649
509,1436,2024-02-25 18:37:41,A,626
510,1437,2024-06-08 09:27:24,A,1440
511,1441,2023-05-21 09:28:27,A,1472
512,1443,2023-10-27 16:24:16,B,1464
513,1445,2024-08-12 16:22:15,B,591
514,1446,2023-12-21 00:21:11,A,652
515,1450,2024-03-21 11:11:54,C,610
516,1452,2023-04-17 07:33:37,A,589
517,1455,2024-06-14 19:45:46,A,613
518,1456,2024-02-12 09:34:46,A,664
519,1458,2024-11-19 19:49:31,A,661
520,1461,2024-09-29 22:21:01,A,1471
521,1462,2025-02-15 13:54:50,A,608
522,1464,2025-02-27 16:25:00,C,645
523,1466,2023-07-14 16:10:21,A,647
524,1475,2024-12-21 11:51:55,A,586
525,1478,2023-08-07 06:58:06,A,1429
526,1480,2024-11-29 04:26:01,A,1413
527,1483,2025-01-23 19:59:18,A,590
528,1486,2025-05-26 22:29:10,B,1470
529,1487,2024-09-29 02:52:53,A,604
530,1493,2024-05-17 06:26:44,A,599
531,1494,2023-03-18 01:30:48,A,1482
532,1495,2024-02-04 04:29:48,A,1451
533,1498,2024-02-13 10:56:10,A,632
534,1499,2024-07-11 02:17:40,A,1419
535,1500,2024-08-02 01:53:25,A,656
536,1504,2023-10-25 21:09:00,A,1062
537,1508,2024-01-26 21:02:37,A,1128
538,1511,2024-07-20 11:14:19,A,1092
539,1513,2024-07-16 08:52:36,A,1100
540,1519,2023-05-17 18:33:54,A,1112
541,1520,2024-09-03 05:17:50,A,1098
542,1523,2024-08-17 00:20:01,A,1146
543,1524,2023-10-14 23:40:30,A,1119
544,1526,2024-05-12 10:21:42,A,1116
545,1529,2023-12-12 13:01:38,A,1092
546,1530,2024-06-18 09:00:24,C,1049
547,1531,2024-08-23 05:55:00,A,1035
548,1533,2025-04-24 00:21:32,A,1107
549,1541,2024-01-17 21:08:26,A,1072
550,1543,2024-10-09 00:45:14,A,1053
551,1545,2023-07-13 18:35:37,A,1130
552,1546,2024-03-06 20:32:33,A,1006
553,1547,2024-01-12 00:21:08,A,1033
554,1556,2023-12-11 22:31:50,B,1056
555,1558,2024-12-25 03:19:59,A,1126
556,1560,2024-06-28 06:45:46,A,1033
557,1561,2023-12-10 14:04:04,B,1062
558,1564,2025-01-16 04:46:50,A,1117
559,1565,2023-08-10 21:14:08,A,1012
560,1566,2024-12-04 15:19:19,A,1043
561,1567,2024-12-30 04:46:13,B,1006
562,1571,2023-06-28 17:52:27,A,1054
563,1573,2024-06-09 20:19:48,A,1044
564,1576,2024-11-23 21:26:14,A,1081
565,1578,2023-05-14 01:17:55,A,1070
566,1582,2025-03-19 18:06:55,A,1128
567,1585,2025-01-15 23:16:57,A,1071
568,1586,2025-01-12 12:42:16,A,1065
569,1587,2025-05-30 18:05:27,B,1099
570,1589,2023-07-10 03:16:12,A,1041
571,1599,2023-12-03 12:58:42,A,1076
572,1601,2025-02-22 21:45:52,A,1036
573,1603,2023-12-23 12:03:29,A,1001
574,1604,2024-12-10 07:34:05,A,1028
575,1605,2023-04-14 06:04:03,A,1063
576,1608,2023-05-24 20:42:21,A,1036
577,1609,2024-05-22 00:59:40,A,1075
578,1613,2024-12-18 09:20:30,A,1013
579,1617,2024-06-20 21:57:56,A,1128
580,1618,2024-08-31 09:57:07,A,1134
581,1620,2024-09-13 16:21:27,A,1106
582,1623,2023-12-31 15:20:00,A,1050
583,1624,2024-06-16 16:20:07,A,1018
584,1627,2025-01-13 08:45:26,B,1093
585,1628,2024-10-13 00:30:40,B,1096
586,1643,2023-10-12 15:02:58,A,1026
587,1644,2024-03-14 06:06:43,A,1060
588,1652,2024-02-08 08:58:01,A,19
589,1654,2023-08-02 15:09:31,B,1935
590,1656,2024-11-10 13:37:19,A,1930
591,1657,2024-01-12 04:10:10,B,1931
592,1659,2024-10-02 11:49:07,C,1928
593,1660,2025-05-18 04:03:47,C,37
594,1663,2025-02-25 18:40:26,A,27
595,1664,2023-11-21 09:13:19,A,1927
596,1666,2025-01-19 01:29:35,A,1959
597,1669,2024-09-26 23:11:12,B,1944
598,1671,2023-07-07 07:24:32,A,1
599,1674,2024-06-17 19:36:09,A,38
600,1695,2024-07-09 11:57:08,A,44
601,1702,2024-07-07 11:39:15,A,21
602,1704,2024-03-19 15:13:38,A,1953
603,1711,2024-05-05 19:24:07,A,13
604,1719,2023-10-02 21:15:48,A,18
605,1720,2023-12-30 15:21:43,B,17
606,1721,2024-10-29 23:09:17,A,1923
607,1722,2023-11-18 18:49:23,A,2
608,1726,2025-01-05 08:41:21,B,67
609,1728,2023-09-13 21:42:51,A,1916
610,1730,2024-08-18 04:16:15,A,1937
611,1732,2024-05-27 02:46:12,C,1942
612,1736,2023-12-07 17:11:18,A,45
613,1740,2024-09-27 23:31:31,A,1942
614,1742,2024-07-22 20:30:15,A,74
615,1747,2025-02-13 05:26:43,C,39
616,1748,2024-12-14 14:33:28,B,1916
617,1752,2023-10-13 07:22:14,A,1957
618,1758,2024-08-04 13:34:19,A,44
619,1759,2023-08-25 11:30:03,A,60
620,1760,2025-04-08 21:13:10,A,9
621,1763,2024-04-18 14:29:23,A,38
622,1764,2023-08-12 08:27:28,A,1928
623,1765,2023-12-30 20:23:56,C,1906
624,1768,2024-12-07 00:39:56,C,1900
625,1769,2023-07-09 09:24:54,A,28
626,1770,2024-10-15 21:15:37,A,57
627,1776,2024-08-11 06:06:24,B,1937
628,1779,2023-12-26 15:03:41,A,1966
629,1782,2023-07-30 15:34:32,A,1943
630,1784,2024-08-07 08:07:49,A,66
631,1786,2025-05-07 17:10:50,A,1941
632,1788,2025-04-04 06:37:11,C,1912
633,1791,2025-01-16 14:01:48,B,1949
634,1792,2024-05-15 03:57:18,A,64
635,1795,2023-11-15 00:39:30,A,41
636,1796,2023-08-03 07:15:09,A,1959
