ArrestSurrenderID,CaseMasterID,ArrestSurrenderTypeID,ArrestSurrenderDate,ArrestSurrenderStateId,ArrestSurrenderDistrictId,PoliceStationID,IOID,CourtID,AccusedMasterID,IsAccused,IsComplainantAccused
124,217,1,2024-08-14,1,3,29,166,8,508,1,0
125,217,1,2024-08-21,1,3,29,167,7,509,1,0
126,219,1,2023-07-13,1,3,23,224,8,514,1,0
127,226,2,2024-03-10,1,3,25,197,8,532,1,0
128,227,1,2024-09-27,1,3,28,204,7,535,1,0
129,228,1,2024-06-25,1,21,221,1687,56,537,1,0
130,229,1,2023-06-24,1,21,218,1651,59,540,1,0
131,229,1,2023-07-05,1,21,218,1663,56,541,1,0
132,230,2,2023-08-19,1,21,219,1675,56,543,1,0
133,230,1,2023-09-08,1,21,219,1703,58,542,1,0
134,232,1,2023-10-24,1,3,28,225,8,550,1,0
135,233,1,2023-10-20,1,21,213,1706,56,551,1,0
136,234,1,2024-11-13,1,21,215,1652,58,554,1,0
137,238,2,2024-07-29,1,3,27,166,7,559,1,0
138,238,1,2024-07-11,1,3,27,225,8,561,1,0
139,242,2,2024-08-01,1,3,26,195,8,572,1,0
140,244,1,2023-05-08,1,21,220,1665,56,577,1,0
141,244,1,2023-05-20,1,21,220,1685,57,576,1,0
142,245,1,2023-08-11,1,21,216,1658,58,580,1,0
143,245,1,2023-08-14,1,21,216,1709,58,578,1,0
144,251,2,2024-01-18,1,21,214,1650,57,594,1,0
145,251,1,2024-01-04,1,21,214,1678,57,596,1,0
146,255,1,2023-06-18,1,3,27,233,8,607,1,0
147,255,1,2023-07-05,1,3,27,224,7,606,1,0
148,258,1,2023-08-06,1,3,30,190,8,616,1,0
149,260,1,2023-12-11,1,21,220,1719,59,621,1,0
150,260,1,2023-11-30,1,21,220,1699,57,622,1,0
151,261,1,2023-06-22,1,3,24,249,8,623,1,0
152,262,1,2024-05-22,1,21,216,1660,59,626,1,0
153,262,1,2024-05-20,1,21,216,1652,56,625,1,0
154,263,2,2024-05-12,1,21,214,1708,58,629,1,0
155,263,2,2024-05-09,1,21,214,1669,59,628,1,0
156,265,1,2025-01-04,1,21,217,1684,58,632,1,0
157,268,2,2023-06-30,1,21,214,1729,56,639,1,0
158,269,1,2023-08-29,1,21,217,1677,57,641,1,0
159,270,1,2023-12-28,1,3,30,176,7,644,1,0
160,273,1,2023-02-23,1,21,218,1699,56,651,1,0
161,276,1,2024-06-03,1,3,30,219,8,659,1,0
162,282,1,2023-01-24,1,3,21,196,7,675,1,0
163,282,1,2023-02-13,1,3,21,214,8,676,1,0
164,283,1,2024-04-17,1,21,221,1730,58,677,1,0
165,284,1,2023-05-11,1,3,24,222,7,682,1,0
166,284,2,2023-05-01,1,3,24,231,8,681,1,0
167,286,1,2023-05-05,1,3,29,221,7,686,1,0
168,287,1,2024-02-01,1,21,219,1682,59,690,1,0
169,289,1,2024-12-24,1,21,217,1710,57,696,1,0
170,289,2,2024-12-26,1,21,217,1659,57,695,1,0
171,295,1,2023-05-11,1,21,221,1707,58,709,1,0
172,303,1,2023-05-13,1,15,152,1232,39,731,1,0
173,303,1,2023-05-03,1,15,152,1192,38,732,1,0
174,304,1,2024-03-02,1,15,147,1240,41,733,1,0
175,307,1,2024-07-21,1,15,151,1172,41,742,1,0
176,308,2,2023-08-26,1,5,44,353,11,746,1,0
177,310,1,2024-11-27,1,5,44,368,13,749,1,0
178,310,1,2024-11-29,1,5,44,375,11,750,1,0
179,317,1,2023-06-28,1,13,134,1054,33,766,1,0
180,320,1,2023-12-03,1,13,133,1018,33,775,1,0
181,320,1,2023-12-23,1,13,133,1021,34,773,1,0
182,322,1,2024-01-02,1,13,130,1068,35,778,1,0
183,322,1,2023-12-13,1,13,130,1007,35,779,1,0
184,324,1,2023-10-03,1,15,145,1176,41,783,1,0
185,327,1,2024-08-28,1,15,152,1223,39,786,1,0
186,329,2,2024-09-09,1,13,129,995,33,791,1,0
187,329,1,2024-09-17,1,13,129,1006,33,792,1,0
188,330,2,2023-08-09,1,5,42,364,11,795,1,0
189,331,1,2023-06-15,1,5,43,379,13,796,1,0
190,332,1,2023-10-27,1,5,44,357,11,799,1,0
191,334,1,2024-12-20,1,13,129,1017,33,804,1,0
192,337,1,2024-02-28,1,13,134,1040,33,811,1,0
193,337,1,2024-02-23,1,13,134,1021,35,809,1,0
194,338,1,2023-06-20,1,13,134,1015,34,813,1,0
195,338,1,2023-06-24,1,13,134,1033,33,812,1,0
196,340,1,2023-05-29,1,5,42,378,13,818,1,0
197,340,1,2023-05-17,1,5,42,400,12,819,1,0
198,342,1,2024-12-18,1,5,44,392,11,828,1,0
199,347,1,2024-07-23,1,13,134,1043,33,838,1,0
200,347,1,2024-07-04,1,13,134,1065,33,837,1,0
201,348,1,2024-09-24,1,5,42,382,12,841,1,0
202,348,1,2024-09-23,1,5,42,353,12,840,1,0
203,351,1,2024-01-19,1,13,127,1061,35,850,1,0
204,352,1,2024-04-05,1,5,47,342,11,854,1,0
205,352,1,2024-04-13,1,5,47,361,13,852,1,0
206,354,1,2023-06-16,1,15,146,1237,38,858,1,0
207,355,1,2023-06-05,1,15,149,1226,41,859,1,0
208,355,1,2023-06-27,1,15,149,1172,39,861,1,0
209,356,1,2023-08-20,1,13,128,1021,34,863,1,0
210,357,1,2023-11-20,1,5,49,345,12,867,1,0
211,361,1,2023-12-20,1,13,127,999,33,873,1,0
212,366,1,2024-06-13,1,13,132,1013,35,885,1,0
213,366,2,2024-05-23,1,13,132,995,35,884,1,0
214,367,2,2024-04-23,1,5,42,385,13,888,1,0
215,367,1,2024-04-30,1,5,42,387,11,889,1,0
216,368,1,2024-05-29,1,13,132,1030,35,891,1,0
217,368,1,2024-05-30,1,13,132,1072,35,890,1,0
218,369,1,2023-08-01,1,5,49,347,13,894,1,0
219,372,1,2023-05-10,1,13,134,1031,33,900,1,0
220,372,1,2023-05-16,1,13,134,1052,34,901,1,0
221,376,1,2023-12-01,1,5,49,379,12,913,1,0
222,376,2,2023-11-12,1,5,49,357,11,911,1,0
223,383,1,2023-09-18,1,15,152,1187,41,934,1,0
224,383,1,2023-09-15,1,15,152,1221,40,932,1,0
225,384,1,2023-12-12,1,5,48,397,11,937,1,0
226,388,1,2024-02-18,1,5,46,359,12,949,1,0
227,388,1,2024-02-17,1,5,46,396,12,950,1,0
228,390,1,2024-02-08,1,13,131,1031,35,954,1,0
229,396,1,2024-10-30,1,13,129,1005,35,970,1,0
230,396,1,2024-10-26,1,13,129,1052,34,969,1,0
231,397,2,2024-05-13,1,15,152,1165,41,974,1,0
232,401,1,2024-06-02,1,5,45,412,12,982,1,0
233,402,1,2024-12-10,1,13,131,1072,34,985,1,0
234,402,1,2024-11-17,1,13,131,1003,35,986,1,0
235,405,1,2023-06-28,1,13,132,1047,34,995,1,0
236,407,1,2023-05-24,1,13,134,1067,34,999,1,0
237,407,1,2023-05-04,1,13,134,1032,34,998,1,0
238,409,1,2024-08-08,1,5,42,390,13,1007,1,0
239,409,2,2024-07-29,1,5,42,404,13,1006,1,0
240,410,2,2023-06-14,1,13,134,1003,35,1009,1,0
241,412,1,2024-12-28,1,13,132,1069,34,1016,1,0
242,413,1,2023-07-09,1,5,43,356,13,1018,1,0
243,413,1,2023-06-22,1,5,43,404,13,1021,1,0
244,414,1,2024-10-22,1,13,132,1027,34,1023,1,0
245,414,1,2024-10-10,1,13,132,1072,34,1022,1,0
246,415,1,2023-08-17,1,15,145,1202,41,1027,1,0
247,415,1,2023-08-04,1,15,145,1181,39,1025,1,0
248,417,1,2023-07-12,1,15,148,1156,39,1032,1,0
249,419,1,2023-10-11,1,15,148,1179,39,1038,1,0
250,421,1,2023-02-19,1,5,44,351,11,1043,1,0
251,430,1,2023-10-10,1,13,127,1030,35,1064,1,0
252,430,1,2023-10-19,1,13,127,1059,35,1065,1,0
253,431,1,2023-12-22,1,5,49,354,13,1070,1,0
254,431,1,2023-12-26,1,5,49,381,11,1068,1,0
255,433,2,2024-04-22,1,15,146,1228,38,1074,1,0
256,436,1,2023-05-17,1,5,45,406,13,1082,1,0
257,436,1,2023-05-17,1,5,45,372,13,1080,1,0
258,438,1,2023-04-18,1,5,43,378,11,1087,1,0
259,438,1,2023-04-30,1,5,43,410,13,1088,1,0
260,439,1,2024-04-24,1,15,145,1203,38,1092,1,0
261,441,1,2024-07-26,1,13,128,1013,33,1101,1,0
262,441,2,2024-08-22,1,13,128,1017,34,1099,1,0
263,442,1,2024-08-02,1,15,153,1157,38,1102,1,0
264,444,1,2024-05-25,1,13,133,1055,33,1109,1,0
265,444,1,2024-05-17,1,13,133,1004,34,1108,1,0
266,446,1,2023-04-01,1,5,43,376,12,1115,1,0
267,446,1,2023-03-25,1,5,43,380,13,1116,1,0
268,448,1,2024-05-20,1,5,43,355,12,1121,1,0
269,448,1,2024-05-18,1,5,43,402,13,1120,1,0
270,452,2,2024-05-24,1,28,300,2243,82,1131,1,0
271,452,1,2024-06-04,1,28,300,2255,81,1133,1,0
272,453,1,2023-02-14,1,28,298,2216,80,1134,1,0
273,455,2,2023-02-04,1,29,308,2288,84,1139,1,0
274,455,1,2023-02-04,1,29,308,2290,84,1137,1,0
275,457,1,2024-10-31,1,28,295,2237,81,1142,1,0
276,458,1,2024-11-17,1,6,57,451,15,1143,1,0
277,460,1,2024-01-11,1,6,59,457,15,1148,1,0
278,461,2,2023-04-26,1,29,303,2333,84,1151,1,0
279,461,1,2023-04-01,1,29,303,2340,84,1150,1,0
280,462,2,2024-08-12,1,28,296,2219,82,1152,1,0
281,463,2,2023-04-06,1,28,295,2264,81,1153,1,0
282,464,1,2024-07-05,1,28,301,2271,82,1157,1,0
283,464,1,2024-06-18,1,28,301,2246,82,1155,1,0
284,465,1,2023-11-06,1,28,298,2229,82,1158,1,0
285,467,2,2024-02-24,1,29,304,2353,84,1165,1,0
286,470,1,2024-10-17,1,28,295,2272,80,1171,1,0
287,470,1,2024-11-06,1,28,295,2238,82,1170,1,0
288,472,1,2024-08-23,1,29,307,2333,85,1175,1,0
289,473,1,2024-03-18,1,29,304,2286,85,1180,1,0
290,477,2,2024-08-06,1,29,311,2358,84,1190,1,0
291,478,1,2023-04-23,1,28,298,2239,81,1191,1,0
292,479,1,2024-01-05,1,6,57,471,15,1192,1,0
293,480,1,2024-06-05,1,6,60,487,14,1196,1,0
294,482,1,2023-10-15,1,6,53,434,15,1200,1,0
295,486,1,2024-03-24,1,29,307,2319,85,1210,1,0
296,486,2,2024-04-14,1,29,307,2325,85,1209,1,0
297,487,1,2023-05-18,1,29,309,2314,84,1212,1,0
298,487,1,2023-05-08,1,29,309,2300,85,1213,1,0
299,488,1,2023-06-03,1,28,297,2230,83,1215,1,0
300,492,1,2023-10-15,1,6,58,433,14,1224,1,0
301,493,1,2023-11-28,1,28,297,2249,80,1225,1,0
302,497,1,2023-06-16,1,6,58,472,14,1235,1,0
303,498,1,2023-02-11,1,6,52,462,14,1239,1,0
304,498,2,2023-02-19,1,6,52,476,15,1238,1,0
305,503,1,2024-03-13,1,29,303,2310,84,1250,1,0
306,505,2,2023-03-26,1,28,294,2245,82,1254,1,0
307,505,1,2023-03-20,1,28,294,2220,83,1255,1,0
308,510,2,2024-06-08,1,29,303,2293,84,1269,1,0
309,510,1,2024-06-23,1,29,303,2344,84,1268,1,0
310,511,1,2023-01-02,1,29,311,2328,85,1270,1,0
311,512,1,2023-10-25,1,6,60,469,15,1273,1,0
312,515,1,2023-09-08,1,28,295,2243,80,1280,1,0
313,515,1,2023-09-26,1,28,295,2278,82,1278,1,0
314,519,1,2024-09-13,1,29,310,2354,85,1289,1,0
315,523,1,2024-06-30,1,6,52,498,14,1298,1,0
316,523,2,2024-07-16,1,6,52,459,15,1297,1,0
317,528,2,2024-11-11,1,28,300,2281,80,1313,1,0
318,531,2,2024-03-03,1,28,295,2262,81,1318,1,0
319,531,1,2024-03-01,1,28,295,2232,83,1321,1,0
320,533,1,2024-12-07,1,29,306,2336,85,1326,1,0
321,535,1,2024-08-25,1,29,311,2311,85,1332,1,0
322,536,1,2024-10-28,1,6,55,469,14,1334,1,0
323,536,1,2024-10-27,1,6,55,492,15,1336,1,0
324,537,2,2024-11-08,1,6,60,486,15,1337,1,0
325,539,1,2023-09-20,1,28,300,2232,80,1342,1,0
326,541,2,2023-10-21,1,6,54,490,14,1347,1,0
327,544,1,2024-12-10,1,6,53,480,14,1355,1,0
328,548,1,2024-11-08,1,6,57,454,14,1364,1,0
329,552,1,2024-08-05,1,6,53,488,15,1373,1,0
330,552,2,2024-08-15,1,6,53,456,14,1372,1,0
331,553,1,2024-12-31,1,28,301,2255,83,1375,1,0
332,554,1,2023-04-02,1,6,57,447,14,1377,1,0
333,558,1,2023-04-20,1,28,297,2232,82,1390,1,0
334,561,2,2023-08-15,1,28,295,2257,80,1396,1,0
335,561,1,2023-08-10,1,28,295,2273,81,1394,1,0
336,562,1,2023-05-18,1,29,310,2339,84,1399,1,0
337,564,1,2024-11-16,1,28,294,2274,83,1404,1,0
338,565,1,2023-12-22,1,29,310,2301,84,1405,1,0
339,568,1,2025-01-01,1,28,297,2233,80,1414,1,0
340,571,1,2023-05-11,1,6,57,458,14,1424,1,0
341,574,1,2023-02-04,1,6,59,456,15,1432,1,0
342,575,1,2024-10-29,1,6,57,472,14,1433,1,0
343,575,1,2024-11-08,1,6,57,478,14,1434,1,0
344,577,2,2023-04-20,1,6,53,473,14,1442,1,0
345,580,1,2023-01-23,1,6,60,472,15,1448,1,0
346,585,1,2023-04-15,1,29,311,2314,85,1464,1,0
347,589,1,2023-11-02,1,29,303,2358,85,1479,1,0
348,589,1,2023-10-30,1,29,303,2292,84,1477,1,0
349,590,1,2023-02-22,1,6,57,488,15,1480,1,0
350,594,1,2024-03-19,1,29,307,2300,84,1491,1,0
351,596,1,2023-12-22,1,28,297,2240,82,1496,1,0
352,596,1,2023-12-02,1,28,297,2228,83,1495,1,0
353,598,1,2024-09-13,1,28,301,2242,81,1504,1,0
354,600,1,2024-11-24,1,6,58,444,15,1510,1,0
355,602,1,2024-10-09,1,17,173,1358,48,1515,1,0
356,602,2,2024-10-05,1,17,173,1384,47,1516,1,0
357,606,1,2023-04-01,1,7,68,514,17,1530,1,0
358,606,1,2023-04-10,1,7,68,538,17,1532,1,0
359,609,2,2023-05-15,1,17,172,1373,45,1538,1,0
360,614,1,2023-07-28,1,7,64,539,16,1543,1,0
361,619,2,2024-07-01,1,7,65,530,16,1558,1,0
362,620,1,2024-03-31,1,7,69,539,17,1563,1,0
363,621,1,2024-05-03,1,17,166,1327,45,1566,1,0
364,623,2,2024-03-23,1,17,172,1328,45,1570,1,0
365,629,1,2024-02-26,1,7,66,521,16,1586,1,0
366,633,1,2023-12-20,1,17,176,1380,46,1593,1,0
367,634,2,2024-05-19,1,17,170,1390,48,1594,1,0
368,641,1,2025-01-08,1,7,63,583,16,1607,1,0
369,644,1,2024-07-04,1,17,166,1349,45,1616,1,0
370,647,1,2023-09-30,1,17,170,1341,45,1623,1,0
371,650,2,2023-11-28,1,17,171,1390,47,1632,1,0
372,654,1,2023-08-30,1,7,63,528,17,1641,1,0
373,654,1,2023-08-24,1,7,63,540,16,1642,1,0
374,655,2,2023-10-16,1,7,65,521,16,1645,1,0
375,655,1,2023-10-13,1,7,65,554,16,1647,1,0
376,663,1,2024-02-17,1,17,174,1406,46,1667,1,0
377,664,1,2024-08-21,1,17,175,1392,48,1672,1,0
378,666,1,2024-12-12,1,17,165,1341,45,1679,1,0
379,668,1,2023-07-07,1,7,69,579,16,1682,1,0
380,671,1,2024-03-04,1,17,175,1361,46,1692,1,0
381,672,1,2025-01-15,1,17,174,1388,47,1694,1,0
382,672,1,2024-12-20,1,17,174,1404,45,1696,1,0
383,674,1,2024-03-03,1,17,172,1331,47,1699,1,0
384,675,2,2024-02-09,1,17,165,1360,47,1701,1,0
385,675,1,2024-02-04,1,17,165,1331,47,1702,1,0
386,676,1,2023-03-20,1,7,69,568,16,1704,1,0
387,679,1,2024-12-17,1,7,65,566,17,1712,1,0
388,681,2,2025-01-10,1,17,170,1389,48,1717,1,0
389,681,1,2024-12-23,1,17,170,1406,46,1716,1,0
390,685,1,2023-05-05,1,17,176,1398,45,1726,1,0
391,685,2,2023-05-02,1,17,176,1369,45,1725,1,0
392,686,1,2024-05-27,1,7,69,569,17,1729,1,0
393,686,1,2024-06-14,1,7,69,525,16,1730,1,0
394,687,2,2024-05-03,1,17,172,1330,47,1733,1,0
395,687,2,2024-04-16,1,17,172,1379,45,1732,1,0
396,691,1,2023-10-03,1,17,166,1364,46,1744,1,0
397,693,2,2024-11-20,1,17,168,1350,48,1747,1,0
398,695,1,2024-03-20,1,7,68,506,17,1751,1,0
399,695,1,2024-04-15,1,7,68,553,17,1752,1,0
400,697,1,2023-02-20,1,17,169,1336,47,1754,1,0
401,698,1,2023-02-14,1,17,174,1392,47,1758,1,0
402,698,1,2023-03-01,1,17,174,1363,46,1756,1,0
403,699,1,2024-11-26,1,17,168,1377,46,1759,1,0
404,702,1,2024-09-13,1,7,65,544,16,1767,1,0
405,706,1,2024-02-10,1,17,176,1396,45,1775,1,0
406,712,1,2024-03-08,1,7,62,573,16,1788,1,0
407,713,2,2024-08-14,1,7,69,520,16,1790,1,0
408,713,1,2024-08-30,1,7,69,532,16,1791,1,0
409,714,1,2023-09-29,1,7,66,532,17,1793,1,0
410,714,1,2023-10-25,1,7,66,560,17,1795,1,0
411,715,1,2023-09-10,1,7,63,549,16,1796,1,0
412,716,1,2024-04-01,1,17,173,1333,48,1797,1,0
413,718,1,2023-05-26,1,7,63,519,17,1806,1,0
414,723,2,2023-10-25,1,7,64,571,17,1816,1,0
415,724,1,2024-04-10,1,17,166,1393,46,1820,1,0
416,727,1,2024-11-02,1,17,173,1356,46,1825,1,0
417,728,1,2024-02-26,1,17,169,1353,47,1826,1,0
418,732,2,2024-04-16,1,7,66,501,17,1834,1,0
419,732,2,2024-04-10,1,7,66,578,17,1837,1,0
420,734,1,2024-09-30,1,17,176,1330,45,1843,1,0
421,734,1,2024-09-02,1,17,176,1346,45,1844,1,0
422,740,2,2024-07-16,1,7,64,536,16,1860,1,0
423,740,1,2024-07-16,1,7,64,518,16,1859,1,0
424,741,1,2023-04-08,1,7,64,533,16,1861,1,0
425,742,1,2024-03-04,1,7,69,564,17,1863,1,0
426,742,1,2024-03-17,1,7,69,541,16,1865,1,0
427,743,1,2023-04-19,1,17,175,1363,45,1867,1,0
428,744,1,2024-08-06,1,17,175,1361,48,1870,1,0
429,745,1,2024-04-13,1,17,170,1402,47,1874,1,0
430,745,1,2024-04-22,1,17,170,1331,46,1873,1,0
431,747,1,2024-06-21,1,17,175,1344,48,1877,1,0
432,748,1,2024-01-19,1,17,170,1362,46,1878,1,0
433,748,1,2023-12-31,1,17,170,1404,46,1880,1,0
434,749,2,2023-03-07,1,7,69,567,16,1881,1,0
435,752,1,2023-07-27,1,2,17,120,5,1886,1,0
436,753,1,2024-04-14,1,4,38,335,9,1887,1,0
437,753,1,2024-04-01,1,4,38,309,10,1890,1,0
438,755,1,2024-07-05,1,4,37,265,10,1894,1,0
439,757,1,2023-11-03,1,2,13,123,4,1899,1,0
440,757,1,2023-10-06,1,2,13,90,4,1900,1,0
441,759,1,2023-09-12,1,2,14,110,4,1902,1,0
442,759,1,2023-09-11,1,2,14,89,4,1905,1,0
443,760,1,2024-05-15,1,2,12,164,5,1906,1,0
444,760,1,2024-06-02,1,2,12,131,5,1907,1,0
445,764,1,2024-07-24,1,2,16,116,4,1915,1,0
446,767,1,2024-03-08,1,2,19,117,6,1921,1,0
447,769,1,2023-05-19,1,4,33,299,10,1926,1,0
448,771,1,2024-08-31,1,2,14,79,4,1930,1,0
449,777,1,2024-09-26,1,4,32,316,9,1945,1,0
450,778,1,2023-03-30,1,4,34,261,10,1948,1,0
451,778,1,2023-03-01,1,4,34,332,10,1947,1,0
452,780,1,2024-12-18,1,2,17,117,6,1954,1,0
453,780,1,2024-12-11,1,2,17,94,6,1953,1,0
454,782,2,2024-10-22,1,2,17,96,4,1958,1,0
455,783,1,2025-01-04,1,2,15,90,4,1959,1,0
456,790,2,2023-10-04,1,2,13,142,4,1976,1,0
457,790,2,2023-09-16,1,2,13,108,4,1978,1,0
458,791,2,2024-01-17,1,2,14,87,4,1982,1,0
459,791,1,2024-01-20,1,2,14,108,4,1981,1,0
